"","1571__47877_1661032","28038__850_305719","1681__488_143393","104663__1467_487698","147802__53408_421767","59310__285_191295","1311__28111_47879","1010__41276_999468","28130__76517_386414","1613__1308_118748","157687__29466_228604","45067__1547_239974","202611__1401_290588","529__294_587753","100884__1280_1282","108980__820_28116","28091__1267_216935","28446__516075_1844653","1755629__52226_1746653","1379__52787_56810","1144673__40216_216778","187452__136857_626932","225991__290309","310514__351091_1755626","370979__490189","1034636__588_1670","28454__1113609","28090__271420","38304__40518_441500","70775__29461_35833","41276__999468","850__305719","488__143393","33035__1710_43131","1559__36745","76517__386414","28137__1535_589437","53408__421767","1611423__40214_153721","585__33935_626931","34087__196024","38986__1472_179995","184870__40681_454155","1597__78342_82135","13690__39497_88688","243924__1453492","471__106654","33029__187491","173480__1661050","1401__290588","28025__29355_43675","860__726_28037","36874__1260_1859290","1547__239974","47877__1661032","28127__1506_169435","80866__293_32013","103892__1633_1685","33031__291644_871324","1254__1582_2741","1467__487698","245__588932","1408__40324_308892","1725__1487956","29430__202956","384638__470_582","376804__35825_45851","41976__102862","28118__1687_437898","76759__83263","1504__39489","285__191295","48296__487316","40216__216778","516075__1844653","216947__423605","52226__1746653","28132__199_39778","1280__1282","1727__191493","1267__216935","52787__56810","905__237258_328814","294__587753","33034__1827099","1590__483012","29461__35833","1710__43131","1472__179995","136857__626932","1646377__29348_34038","1358__1515_46228","33935__626931","39497__88688","40681__454155","29466__228604","1303__729_60133","588__1670","33039__387661","28128__53363","29355__43675","351091__1755626","328812__1691_28026","820__28116","208479__358742","584__39485_204516","228603__1902_387090","1582__2741","726__28037","40214__153721","309120__287_251535","1260__1859290","470__582","293__32013","1623__138595","1687__437898","199__39778","29552__284042_1161942","291644__871324","40324__308892","45254__166486","1506__169435","214856__36848_328813","237258__328814","317__122355_1463864","28125__28136","53440__189722","78342__82135","33069__882211_1463837","33038__879_69825","729__60133","1308__118748","1902__387090","1691__28026","1735__78346","35825__45851","38288__1630_165179","589436__839_77095","287__251535","40518__441500","39485__204516","329854__452084","284042__1161942","1535__589437","1680__216816_536633","2139__44749","1633__1685","626930__823_47678","122355__1463864","163202__310297","28111__47879","882211__1463837","29348__34038","1515__46228","301301__1584_39484","341225__310298_454154","36848__328813","879__69825","216816__536633","39029__187327","246787__840_1113922","823__47678","1265__39492_46503","310298__454154","2088__817_46506","57706__818_487175","163877__40520_239935","39492__46503","671267__28117_397865","817__46506","67269__821_33043","40520__239935","818__487175","28117__397865","821__33043","1630__165179","907__218538","261299__574375","839__77095","79883__84032","840__1113922","1584__39484","28129__477666"
"ERR1074894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.17415448727848,0,0,0,0,0,0,0,-5.47828478173858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14187548537305,0,0.300437879207712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9939508474517,0,0,-2.57677642011314,0,5.18567498315024,-2.4456855069669,0,-3.30919631064556,0,4.46310767938141,-4.23605155740153,5.7316961422576,0,-4.42537731698529,0,0,0,0,0,0
"ERR1074972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.30567408839193,0,0,0,0,0,0,0,-3.07887099021002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.33276098499366,0,0.290852416191475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24391792664316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81848347299637,0,0,0,0,0,0,2.46761399806408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01545870438866,0,0,0,5.22292768412698,0,0,0,0,-4.03938461801707,0,-4.3182538142148,0
"ERR1074999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17027265829842,0,0,0,0,0,0,0,-2.60866553156968,0,0,0,0,0,0,0,0,0,0,0,0,-2.44492284173392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51834124063237,0,5.4910733180193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23084044480555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23473058246883,0,0,0,2.39757344606061,0,0,0,0,0,0,0,0,-5.59597980155165,0,0,0,0,4.11993132618349,0,0,0,-2.57048692268668,0,0,0,0,-3.06422378623927,0,4.45221395028471,0,5.30739128352749,0,-3.83061067487552,0,0,0,0,0,0
"ERR1075202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.38623318644298,0,0,0,0,0,0,0,-2.70423099791538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52408445881543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68386548379213,0,-5.86512792519509,0,-1.87219756791915,0,0,0,0,-1.72815894337066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99325909347253,0,3.24274130944285,0,0,0,-2.06442142579533,0,0,0,0,0,0,0,0,0,3.4242941627992,0,0,0,-3.57568279771129,0,0,0,0,0,-1.65995906763972,0,0,0,0,2.87513344363666,0,0,0,0,0,0,-3.0519466664161,0,0,0,0,0,0
"ERR1075257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78705059705516,0,0,0,0,0,0,0,-5.91037206764101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51986547938556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108967241010977,0,4.82731323736472,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39284217417466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3645350385347,0,0,0,0,0,0,-4.14452422016409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54662828179698,0,0,0,-2.62152015982726,-4.41088957206421,-2.48404134366664,0,-3.16173701486307,-4.5406061098869,0,4.30248581533227,5.476289149914,0,0,0,0,0,0,0,0
"ERR1075275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.36423647891742,0,0,0,0,0,0,0,-3.18792207750148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90148067179019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.02551194071968,0,0,0,0,0,0,-5.5216430088031,0,0.646983291244694,0,-2.22768171407984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8584579118784,0,0,0,0,0,0,-2.10327022487146,0,0,0,0,0,0,0,0,0,0,0,-4.53175616851549,5.07543561240234,-3.64297089152419,0,0,0,0,0,0,0,0,-3.40382506817271,0,0,0,5.89559795815172,0,0,0,0,0,0,0,0
"ERR1075669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75724723665866,0,0,0,0,0,0,0,-2.89433137061626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01312898784782,0,4.77569230292168,0,-2.62591032913003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54821010617312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5372259588719,0,0,0,0,0,0,-2.37766844771558,-4.39460427104879,-3.10845960724294,0,0,-4.11824255499682,0,-5.38400997302036,-2.954033620336,0,0,0,5.11653631768858,0,0,0,0,0,0,0,0
"ERR1075751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13425822518338,0,0,0,0,0,0,0,-2.94264247389078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.09680627328901,0,0.698198510557471,0,-2.52554657215473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46052978475702,0,0,4.37437497985342,4.50953914316935,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82282512818051,0,0,0,0,4.95419570873723,0,0,-4.88927654289078,0,0,0,0,0,0,-3.06882125255031,0,0,0,5.31535432876429,0,0,0,0,0,0,0,0
"ERR1075911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08302711891489,0,0,0,0,0,0,0,-2.66244174141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61148436831769,0,5.33995961107328,0,-2.66244174141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61148436831769,0,0,0,0,-4.27490485907753,0,-2.74356563317673,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75199507056198,0,0,0,-2.51898420346146,0,0,-5.18847746510455,0,-3.1719946444236,0,4.36300862385866,-0.895443631976579,5.49405588547805,0,0,0,0,0,0,0,0
"ERR1075960",0,0,0,0,-2.71198446423388,0,0,0,0,0,0,0,0,0,0,-5.28180009769313,0,0,0,0,0,0,0,-2.88599061643724,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69729488139054,0,0,0,0,0,0,0,0,0,0,-5.25696493613257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.99868237783632,0,-0.880944328409798,0,-2.39564349603112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56732237152351,0,0,0,-2.58846669636172,0,0,0,0,0,0,0,0,0,0,0,-4.14937625194784,0,0,0,0,0,0,0,4.44673278688694,0,0,4.48335583179847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77991540118663,0,0,0,4.81495471559847,0,0,0,0,0,0,0,0
"ERR1075988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59277045819209,0,0,0,0,0,0,0,-3.27819648604304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6780028710203,0,-4.49081016595234,0,-2.70740270993809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34316042895494,5.61310338906908,0,0,-4.68935905016244,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04248779638544,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28672308959489,0,-2.52523381148587,0,0,3.96072057401922,4.37383326248433,4.05847291323485,-4.4691119297164,0,0,0,0,0,0
"ERR1075994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98547083907939,0,0,0,0,0,0,0,-2.57865008680946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.46635296529588,0,3.43893637023192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36606756629087,0,0,0,0,0,0,0,-1.89305122186715,0,0,-2.18259501308654,0,0,0,0,0,0,0,-2.05636773576924,0,0,-3.27886089760424,0,0,3.78036545501236,-2.24861675423213,-3.56173339739769,0,-2.02725031547024,0,-3.89471846508066,-1.84386172413947,0,0,0,3.51130054605449,-3.19366218834111,0,-5.83020004652551,0,0,0,0,0,0,0
"ERR1076011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33774255909877,0,0,0,0,0,0,0,-2.7297575560913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.72807877949518,0,4.04908888737515,0,-2.28125096735995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124258028309,0,0,0,0,0,0,-4.65873267171105,0,0,0,0,0,0,0,-2.31181318559294,0,0,0,0,5.0717078791885,-0.117566842584235,0,-4.00417789505462,0,-2.27102497986036,0,0,-2.50201586290448,0,0,0,3.93353065037623,-4.33361859589385,0,0,0,0,0,0,0,0,0
"ERR1076706",0,0,0,0,0,0,-2.24643425149085,0,0,0,0,0,0,0,0,-5.66096169156572,0,0,0,0,0,0,0,-3.06326620711149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.30573270782591,0,0.712999590327036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89093825944511,0,0,0,4.4897759326117,-2.40912663220674,0,0,0,-4.27684165643059,0,0,0,-4.17272972884937,0,0,0,0,-2.41478654092202,0,-3.21463833333203,0,0,-4.18253297831045,5.56791692128962,0,0,0,0,0,0,0,0
